"","frequency","c.w","rho.w","theta","L","scale","f1","f2","sigma","TS"
"2155",143000,1490,1026.8,72,0.393,0.393,0.00190426029234431+0.00026986888128658i,-0.0005229247534311+0.00339953786305184i,0.00392079503754798,-48.1325172034144
"2156",144000,1490,1026.8,72,0.393,0.393,-0.00077007178997479-0.00140031695541005i,0.00112010429440834-0.00436877239138973i,0.0057796984908833,-44.7618963359529
"2157",145000,1490,1026.8,72,0.393,0.393,-0.0008863279965945+0.00116046030011855i,-0.00261471775173188+0.00515424220874333i,0.0072203039484014,-42.8288903967096
"2158",146000,1490,1026.8,72,0.393,0.393,0.00174297083090846+0.00029900266858229i,0.0048245505275355-0.00511928995332075i,0.00814662545481434,-41.7804450027341
"2159",147000,1490,1026.8,72,0.393,0.393,-0.00113292183439528-0.00181206644040415i,-0.00716415993565007+0.00384027375661442i,0.00854138108366252,-41.3694380229424
"2160",148000,1490,1026.8,72,0.393,0.393,-0.00039694810435023+0.00214775449804076i,0.00885730260672037-0.00133320051115788i,0.00849947624876506,-41.412156707548
"2161",149000,1490,1026.8,72,0.393,0.393,0.00152951027581884-0.00102513640178152i,-0.00925435332178706-0.0019033872748416i,0.00826132259443885,-41.6590083768725
"2162",150000,1490,1026.8,72,0.393,0.393,-0.00126330972312704-0.00064882808994814i,0.00811308578777721+0.00505842505827744i,0.00814640887501685,-41.7806759220559
"2163",151000,1490,1026.8,72,0.393,0.393,-0.00025461861792789+0.00152058835292049i,-0.00571334038922566-0.00732204011804919i,0.00832306297550247,-41.5943363863035
"2164",152000,1490,1026.8,72,0.393,0.393,0.00183892294279376-0.00090220448473177i,0.00274943967687167+0.00820530477082519i,0.00862486784352553,-41.2849510155687
"2165",153000,1490,1026.8,72,0.393,0.393,-0.00223106399587239-0.00066201872580355i,-4.545829090574e-05-7.72282563950783e-03i,0.00868839276003862,-41.2212110993448
"2166",154000,1490,1026.8,72,0.393,0.393,0.00112561249088687+0.00184111150010382i,-0.00177958542025601+0.00635620155378098i,0.00822335831006639,-41.6990157229831
"2167",155000,1490,1026.8,72,0.393,0.393,0.00058527318329256-0.00160695005245142i,0.00254582265699319-0.00481667855672245i,0.00714610143152556,-42.9186164745686
"2168",156000,1490,1026.8,72,0.393,0.393,-1.54559789201519e-03+7.092173771859e-05i,-0.00254165250895895+0.00371797428818218i,0.00557327093683323,-45.0777968761397
"2169",157000,1490,1026.8,72,0.393,0.393,0.00103872853807941+0.00161551716803927i,0.00233931394965277-0.00331140580484276i,0.0037798424990154,-48.4505259251263
"2170",158000,1490,1026.8,72,0.393,0.393,0.00044656581338188-0.00220476091271019i,-0.00248841614516028+0.00340510197330661i,0.00236853782725488,-52.5103934976998
"2171",159000,1490,1026.8,72,0.393,0.393,-0.00164221160099779+0.00135760065041895i,0.00323589945233779-0.0035009330578375i,0.00267090149129452,-51.4668425883269
"2172",160000,1490,1026.8,72,0.393,0.393,0.00155278123867299+0.00011420392582771i,-0.00440716184904007+0.00307834224546936i,0.00428250390831149,-47.3660446403029
"2173",161000,1490,1026.8,72,0.393,0.393,-2.58444453086017e-04-9.50240341816667e-04i,0.00550449018719682-0.00188342268579777i,0.00596243591147538,-44.4915255206875
"2174",162000,1490,1026.8,72,0.393,0.393,-0.00118522174850099+0.0004904018746652i,-5.97257485414214e-03+7.889381311909e-05i,0.00718040039168703,-42.8770267612486
"2175",163000,1490,1026.8,72,0.393,0.393,0.00164699208073758+0.00080214255870743i,0.00549787416397587+0.0018216146582703i,0.00761138723154252,-42.3707236527655
"2176",164000,1490,1026.8,72,0.393,0.393,-0.00085641073923562-0.00176397413657728i,-0.00418974466834579-0.00320509002995663i,0.00708203947239737,-42.9968331398197
"2177",165000,1490,1026.8,72,0.393,0.393,-0.00040118370387776+0.00152704364591873i,0.0025471574402981+0.00367260410078186i,0.00562508132982754,-44.9974238791232
"2178",166000,1490,1026.8,72,0.393,0.393,9.76845560914547e-04-2.44052248448842e-04i,-0.00121999062872676-0.00325574900081029i,0.00350823720810284,-49.0982209931936
"2179",167000,1490,1026.8,72,0.393,0.393,-0.00033975210403592-0.00105817554666084i,0.00067812738725696+0.0024198869900383i,0.00140312361797528,-57.0580813016065
"2180",168000,1490,1026.8,72,0.393,0.393,-0.0009815745929376+0.00135861049305218i,-0.00095357727628728-0.00184043479062824i,0.00199423353965858,-54.0044796783009
"2181",169000,1490,1026.8,72,0.393,0.393,0.0018620068715867-0.0005026494407976i,0.00159295927726796+0.00205230053484172i,0.00378658283984435,-48.4350507517313
"2182",170000,1490,1026.8,72,0.393,0.393,-0.00154378808008226-0.0006831406123847i,-0.00186018687675631-0.00314255266365789i,0.00512083728985228,-45.8131804655106
"2183",171000,1490,1026.8,72,0.393,0.393,0.00027996791482306+0.00111134386460623i,0.0011066053917575+0.00464609193103566i,0.00592204799672041,-44.5505615416823
"2184",172000,1490,1026.8,72,0.393,0.393,8.86825044631638e-04-3.71057991083179e-04i,0.00086324806547697-0.00571457173966044i,0.00633227013877613,-43.9688113225698
"2185",173000,1490,1026.8,72,0.393,0.393,-0.00101884377392507-0.00091634908296046i,-0.00361264424815244+0.00549946750381386i,0.00651580046949054,-43.7206444673995
"2186",174000,1490,1026.8,72,0.393,0.393,8.885229167762e-05+1.62619630997307e-03i,0.00618556000423734-0.0035814138067217i,0.00657199552029069,-43.6460548253533
"2187",175000,1490,1026.8,72,0.393,0.393,0.00098981251891492-0.00109621889521605i,-0.00748395771337382+0.000243043963461i,0.00654994879910437,-43.6752418974265
"2188",176000,1490,1026.8,72,0.393,0.393,-0.0011390486346641-0.00029085821720799i,0.00675417938271245+0.00355784596583772i,0.00649637608727934,-43.7465768184958
"2189",177000,1490,1026.8,72,0.393,0.393,4.484643176207e-05+1.40695989746793e-03i,-0.00396511282829207-0.00652723057050879i,0.00644869447136121,-43.8105639748061
"2190",178000,1490,1026.8,72,0.393,0.393,0.00154716142142739-0.00131613925328525i,-0.00010311936393301+0.00755431877464279i,0.00640313526364212,-43.8721464756738
"2191",179000,1490,1026.8,72,0.393,0.393,-2.4265136729675e-03+6.552976300546e-05i,0.00411912578542907-0.00618940791307359i,0.00635348875501747,-43.9397546879037
"2192",180000,1490,1026.8,72,0.393,0.393,0.00191245996704964+0.00133629766858903i,-0.00671285099600791+0.00286526208594739i,0.00637940893828286,-43.904391148879
"2193",181000,1490,1026.8,72,0.393,0.393,-0.0004196029697275-0.00174147602469074i,0.00702678181276701+0.00124708675924486i,0.00662564962925878,-43.5754306751565
"2194",182000,1490,1026.8,72,0.393,0.393,-8.78174168543486e-04+8.03893258392319e-04i,-0.00506646295882291-0.00469790231300846i,0.00710647712256189,-42.9669127544411
"2195",183000,1490,1026.8,72,0.393,0.393,0.00100671299799813+0.00074220606952097i,0.00169315281567793+0.00634171818628758i,0.00758098003386695,-42.4054929433272
"2196",184000,1490,1026.8,72,0.393,0.393,2.326510791188e-05-1.69443321113174e-03i,0.0017434070345584-0.0057927507555043i,0.00769279235448561,-42.2783197994919
"2197",185000,1490,1026.8,72,0.393,0.393,-0.00125334329487838+0.00137160776207955i,-0.00397476469717011+0.00355438932927947i,0.00718321380167671,-42.8736241400614
"2198",186000,1490,1026.8,72,0.393,0.393,0.00159687185758851-0.0001562783208227i,0.00433748554185613-0.00076706065971697i,0.0060057599533554,-44.428640605633
"2199",187000,1490,1026.8,72,0.393,0.393,-7.4951670313029e-04-8.54588292081798e-04i,-0.00302177581905544-0.00131180729871438i,0.00434924328403403,-47.2317259696715
"2200",188000,1490,1026.8,72,0.393,0.393,-5.69869884769032e-04+7.87708155774891e-04i,0.00093892287384756+0.00186248644371542i,0.00267576746446985,-51.4510326258993
"2201",189000,1490,1026.8,72,0.393,0.393,0.0012417730349938+0.0002720506443491i,7.26958186697235e-04-8.44500354215093e-04i,0.00205026859059654,-53.7637848298793
"2202",190000,1490,1026.8,72,0.393,0.393,-0.00070026330040892-0.0013656701923148i,-0.00107514487160529-0.00102482077376386i,0.00297767043780176,-50.5224674141775
"2203",191000,1490,1026.8,72,0.393,0.393,-0.00058762628034874+0.00148511648973523i,-0.00010274592515244+0.00263817233350833i,0.00418068469296762,-47.5750517136556
"2204",192000,1490,1026.8,72,0.393,0.393,0.00151992438787494-0.0004386741388462i,0.00224666369172-0.00303705557576572i,0.00512522026945018,-45.8057492990986
"2205",193000,1490,1026.8,72,0.393,0.393,-0.00129663481827486-0.0009760374786383i,-0.00431510163006923+0.00186825826740975i,0.00568222173991736,-44.9096364522352
"2206",194000,1490,1026.8,72,0.393,0.393,0.00010278997697889+0.00163871165912263i,0.00529584527287323+0.00045541719547446i,0.00579056458565156,-44.7455818015162
"2207",195000,1490,1026.8,72,0.393,0.393,0.00104120952929192-0.00105131940664984i,-0.00469639651585442-0.0029639667997749i,0.0054298172369096,-45.3042957630571
"2208",196000,1490,1026.8,72,0.393,0.393,-0.00113936359251035-0.00023610488001452i,0.00277947768350488+0.00460733266420726i,0.00466879069704109,-46.6159119030827
"2209",197000,1490,1026.8,72,0.393,0.393,6.813556447678e-05+1.08152070280232e-03i,-0.00042950295363212-0.00477123499189575i,0.00370736805902586,-48.6186859213342
"2210",198000,1490,1026.8,72,0.393,0.393,0.00130243789344581-0.00071066181018182i,-0.00128809433700774+0.00358131365753579i,0.0028706876817808,-50.8402810853352
"2211",199000,1490,1026.8,72,0.393,0.393,-0.00182246039782673-0.00062271980116157i,0.00166373999804489-0.00184363095301849i,0.00247145265136751,-52.1409541086507
"2212",2e+05,1490,1026.8,72,0.393,0.393,0.00101906323051416+0.0018321020778662i,-7.14989415253005e-04+6.42592442801252e-04i,0.0024933058087104,-52.0644890236642
"2213",201000,1490,1026.8,72,0.393,0.393,0.00050119295093409-0.00189166159084217i,-7.96062961248924e-04-7.84228799977813e-04i,0.00269208798271264,-51.3982150124219
"2214",202000,1490,1026.8,72,0.393,0.393,-0.00154217686400717+0.00068767733960775i,0.00172150484158305+0.0023539499078402i,0.00304690906263368,-50.3228101487972
