"","frequency","c.w","rho.w","theta","L","scale","f1","f2","sigma","TS"
"10489",96000,1490,1026.8,101,0.422,0.422,0.00276243472221608+0.00435427043563925i,-0.00701453005009662+0.00173943242248478i,0.0074305806772077,-42.5795449224922
"10490",97000,1490,1026.8,101,0.422,0.422,0.0023333023897045-0.00383953379523626i,0.00486028503192185+0.00530191635698363i,0.0073407263093977,-42.6852193560158
"10491",98000,1490,1026.8,101,0.422,0.422,-0.00287836725200655-0.00045103227240652i,0.00236741978013905-0.0068115777002809i,0.00728056116892006,-42.7567028995284
"10492",99000,1490,1026.8,101,0.422,0.422,-3.22214853471102e-04+9.96558315717981e-04i,-0.00719736554275908+0.00114039044720567i,0.00781732942575214,-42.1388317258779
"10493",1e+05,1490,1026.8,101,0.422,0.422,0.00011874733021471+0.00183403280354509i,0.00448039210456808+0.00591721252042074i,0.00901298438991638,-40.9026276222276
"10494",101000,1490,1026.8,101,0.422,0.422,0.00330492777567189-0.00112820167311598i,0.00317846248606095-0.00692050670211115i,0.0103351853295131,-39.7136346248302
"10495",102000,1490,1026.8,101,0.422,0.422,-0.00304489506211502-0.00312830846554606i,-0.0078481831828825+0.00050710227432783i,0.0112040115828447,-39.0125290173854
"10496",103000,1490,1026.8,101,0.422,0.422,-0.00131985549701469+0.00399213237698546i,0.00436293428297714+0.00690076585428155i,0.0113099761438438,-38.9307662226367
"10497",104000,1490,1026.8,101,0.422,0.422,0.0030120379419388-0.00049978941770996i,0.00409908618854877-0.00745586475666351i,0.0106705444913289,-39.436268380871
"10498",105000,1490,1026.8,101,0.422,0.422,-6.58011498599189e-04-9.97094690188086e-04i,-8.88921743411451e-03+6.414529053376e-05i,0.00959270425250153,-40.361178896458
"10499",106000,1490,1026.8,101,0.422,0.422,1.43938897346855e-04-9.63676847617459e-04i,0.00464368186039885+0.00805739670097445i,0.00855816416516467,-41.3523877402123
"10500",107000,1490,1026.8,101,0.422,0.422,-0.00279457541900845+0.0007081574550333i,0.00489181298877699-0.00841259685858607i,0.00798478502823121,-41.9547354347422
"10501",108000,1490,1026.8,101,0.422,0.422,0.00281417194549791+0.00303908722409555i,-1.01770429397456e-02+1.553448394e-07i,0.00796547956313742,-41.9757614459584
"10502",109000,1490,1026.8,101,0.422,0.422,0.00136052050631308-0.0042533116678527i,0.00539055740759611+0.0091610164628117i,0.00834641356237133,-41.5700019985107
"10503",110000,1490,1026.8,101,0.422,0.422,-0.00371008386107665+0.00079825922079862i,0.00533503294856877-0.00971295064199996i,0.00906157727286935,-40.8559240347994
"10504",111000,1490,1026.8,101,0.422,0.422,0.00155647385139818+0.00169581835462681i,-0.0115195114648398+0.0004475354044395i,0.0101909805133439,-39.8356805768909
"10505",112000,1490,1026.8,101,0.422,0.422,6.4572093852046e-05-3.4120952094351e-04i,0.00659714735097564+0.00998011558370503i,0.0117169542138022,-38.6237053432334
"10506",113000,1490,1026.8,101,0.422,0.422,0.00159314615158084-0.00028198760413678i,0.0052473236700207-0.0112161078572695i,0.0133790218857678,-37.4715127166272
"10507",114000,1490,1026.8,101,0.422,0.422,-0.0020672198004702-0.00234956662241749i,-0.0126976871415579+0.001468492614687i,0.0147911719756701,-36.5999482679981
"10508",115000,1490,1026.8,101,0.422,0.422,-0.00116328288972307+0.00367110779582505i,0.0081842660841521+0.0103035541852217i,0.0156392257641153,-36.11569501874
"10509",116000,1490,1026.8,101,0.422,0.422,0.00352147059517194-0.00089036558148167i,0.0045072675792216-0.0127344965863518i,0.0158144714032883,-36.0189063948787
"10510",117000,1490,1026.8,101,0.422,0.422,-0.00190839458531016-0.00169449707855504i,-0.0134905267576131+0.0030486509972719i,0.0154583476271274,-36.2167386103888
"10511",118000,1490,1026.8,101,0.422,0.422,1.57643177007888e-04+9.40214309279707e-04i,0.0100092632748738+0.0099641089658393i,0.014908730760518,-36.5311865637591
"10512",119000,1490,1026.8,101,0.422,0.422,-0.00112660212560089-0.00034753579536051i,0.0030668936552893-0.0140550472272182i,0.0145326917307997,-36.7530787731373
"10513",120000,1490,1026.8,101,0.422,0.422,0.00128015036854595+0.00239484568151926i,-0.0136998096637892+0.0050987352246279i,0.0145052298088274,-36.7695077241067
"10514",121000,1490,1026.8,101,0.422,0.422,0.00172062109618684-0.00321320404976178i,0.0118820146053184+0.0088574748903299i,0.0147271684769867,-36.6376148975373
"10515",122000,1490,1026.8,101,0.422,0.422,-0.00368633102187094+0.00023431892440538i,0.0009575085991072-0.0149631914507947i,0.0149795246157414,-36.4900393803095
"10516",123000,1490,1026.8,101,0.422,0.422,0.00163560979889936+0.00232062211613692i,-0.0131728205042196+0.0074640322805989i,0.0151276796807216,-36.4045535996642
"10517",124000,1490,1026.8,101,0.422,0.422,0.00046071599800141-0.00119534612497515i,0.0135858968099248+0.0069548812530296i,0.0151815538159666,-36.3736755317017
"10518",125000,1490,1026.8,101,0.422,0.422,6.30764727385367e-04+9.6970177970489e-05i,-0.001712569610066-0.0152671556849411i,0.015208709022139,-36.358152981736
"10519",126000,1490,1026.8,101,0.422,0.422,-0.00120974890906534-0.00208245466810775i,-0.0118205254829163+0.0099405870445731i,0.0152163824602428,-36.3537716875686
"10520",127000,1490,1026.8,101,0.422,0.422,-0.00175353788874423+0.00318559546005659i,0.0149015789244435+0.0043081136300919i,0.0151336267630798,-36.4011396226904
"10521",128000,1490,1026.8,101,0.422,0.422,4.00424881778787e-03-8.478362806491e-05i,-0.0047680765787873-0.0148200908068634i,0.0149244334823622,-36.5220429060202
"10522",129000,1490,1026.8,101,0.422,0.422,-0.00173542152582642-0.00292812593807625i,-0.0096294349755842+0.012296445397975i,0.0147283866326347,-36.6368964751218
"10523",130000,1490,1026.8,101,0.422,0.422,-0.00100990178688087+0.00166754442376668i,0.015631206001542+0.0010464751236357i,0.0148710604544985,-36.5531612171658
"10524",131000,1490,1026.8,101,0.422,0.422,-4.031114026571e-05+1.15569175082457e-04i,-0.007983615480604-0.0135378067085524i,0.0156377702637553,-36.116503428569
"10525",132000,1490,1026.8,101,0.422,0.422,0.00117940288378159+0.00175945506023573i,-0.0066659676973124+0.014295784082602i,0.0169668234324161,-35.4079891936085
"10526",133000,1490,1026.8,101,0.422,0.422,0.00182237976016133-0.00332320711143913i,0.0156205316563208-0.0026339986554414i,0.0184321311636012,-34.6884889558651
"10527",134000,1490,1026.8,101,0.422,0.422,-4.66757006546461e-03-7.537789736222e-05i,-0.0111055273460618-0.0114103210272422i,0.019511839527327,-34.1940356896009
"10528",135000,1490,1026.8,101,0.422,0.422,0.00198168321805781+0.0040796984410383i,-0.0030728643289524+0.0157235037290206i,0.0198332421052384,-34.0521257327124
"10529",136000,1490,1026.8,101,0.422,0.422,0.00222137805687295-0.00260223855287456i,0.0147767717884125-0.006488010243917i,0.0192761438402588,-34.2995968323122
